"termine_inglese","italiano_preferito","dominio","trattamento","nota"
"double-crossing","doppiogiochista","dialoghi criminali e insulti","tradurre","Indica chi tradisce un'alleanza o un accordo; adattare la frase per evitare genere implicito del giocatore"
"QT","QT","viaggio quantico e gergo","mantenere","Abbreviazione tecnica canonica usata nel parlato per il viaggio quantico; preservare per riconoscibilità con interfaccia e guide"
"Old '38","Old '38","luoghi e orientamento","mantenere","Nome canonico del bar di Grim HEX; preservare apostrofo, spazio e numeri per mappe e guide"
"the 'verse","l'universo","dialoghi e gergo","tradurre","Forma colloquiale abbreviata di universe; rendere naturalmente in italiano nei testi discorsivi"
"primo creds","fior di crediti","dialoghi criminali e gergo","tradurre","Espressione colloquiale per un compenso molto elevato"
"half-ass mercs","mercenari da strapazzo","dialoghi criminali e insulti","tradurre","Insulto rivolto a mercenari ritenuti incapaci o improvvisati"
"vent a hull","depressurizzare uno scafo","combattimento e gergo criminale","tradurre","Aprire lo scafo al vuoto mediante i danni; mantenere l'immagine tecnica nel parlato dei piloti"
"Nine Tails turf","territorio dei Nine Tails","fazioni e dialoghi criminali","tradurre","Area controllata dalla fazione; preservare il nome canonico Nine Tails e tradurre il possesso"
"get spaced","finire nel vuoto","dialoghi spaziali e gergo criminale","tradurre","Gergo per venire espulsi, distrutti o uccisi nello spazio; adattare al contesto senza conservarlo in inglese"
"back down from a scrap","tirarsi indietro da uno scontro","dialoghi di combattimento e gergo","tradurre","Locuzione riferita a chi evita uno scontro; non confondere scrap con i rottami in questo contesto"
"doozy","bella bestia","dialoghi e gergo","tradurre","Qualcosa di notevole o imponente; nel commento sul blocco mantenere il tono compiaciuto e colloquiale"
"bad blood","inimicizia","dialoghi criminali e fazioni","tradurre","Rapporto ostile o rancore tra persone e organizzazioni; adattare verbalmente come inimicarsi quando necessario"
"body bag","sacco per cadaveri","dialoghi di combattimento e minacce","tradurre","Sacco destinato al trasporto dei morti; mantenere esplicita la minaccia"
"Ellroy Cass","Ellroy Cass","personaggi e riferimenti di lore","mantenere","Nome proprio citato come termine di paragone da un pilota; mantenere grafia e maiuscole originali"
"the Navy","la Navy","organizzazioni e lore","mantenere","Riferimento abbreviato alla UEE Navy; conservare Navy per riconoscibilità nelle guide e nella lore"
"confirmed hit","colpo confermato","combattimento spaziale e comunicazioni","tradurre","Formula di conferma successiva all'impatto di un colpo sul bersaglio"
"scag","feccia","gergo criminale e insulti","tradurre","Insulto ricorrente rivolto a una persona spregevole; adattare secondo il tono senza trattarlo come nome proprio"
"Rest and Relax","Rest & Relax","luoghi e orientamento","mantenere","Forma estesa parlata delle stazioni R&R; usare la grafia canonica Rest & Relax e conservare l'eventuale gioco di parole nel testo circostante"
"Safe flying","Buon volo","saluti aeronautici e spaziali","tradurre","Formula ricorrente di commiato rivolta a chi pilota; preferire la forma italiana naturale e concisa"
"sign one's own death warrant","firmare la propria condanna a morte","minacce e dialoghi criminali","tradurre","Locuzione con cui si dichiara che una scelta ha reso inevitabile la morte di qualcuno"
"AC","AC","modalità e gergo dei piloti","mantenere","Abbreviazione contestuale di Arena Commander; conservarla nei dialoghi dei giocatori e nelle denominazioni ufficiali"
"full burn","a tutta spinta","pilotaggio e gergo dei piloti","tradurre","Impiego della massima spinta disponibile; forma già adottata nelle battute musicali di Wallace Klim"
"Missile away","Missile lanciato","combattimento spaziale e comunicazioni","tradurre","Chiamata concisa che conferma l'avvenuto lancio di un missile"
"CDF","CDF","organizzazioni, eventi e lore","mantenere","Acronimo canonico di Civilian Defense Force; conservare per interfaccia, missioni e guide"
"Mendo Ren","Mendo Ren","personaggi e lore","mantenere","Comandante dei Nine Tails durante Siege of Orison; mantenere grafia e maiuscole ufficiali"
"Remy Kettle","Remy Kettle","personaggi e lore","mantenere","Luogotenente dei Nine Tails associato a Solanki Platform durante Siege of Orison"
"Solanki Platform","Solanki Platform","luoghi e orientamento","mantenere","Nome ufficiale della piattaforma di Inspiration Park; conservare per mappe e guide"
"Solanki","Solanki","luoghi e orientamento","mantenere","Forma abbreviata di Solanki Platform usata nei dialoghi dell'evento"
"Nolan Acker","Nolan Acker","personaggi e lore","mantenere","Luogotenente dei Nine Tails associato a Hartmoore Platform durante Siege of Orison"
"Acker","Acker","personaggi e lore","mantenere","Forma abbreviata del nome di Nolan Acker nei dialoghi dell'evento"
"Stax","Stax","personaggi e lore","mantenere","Nome proprio del combattente dei Nine Tails legato a Mendo Ren nei dialoghi dell'assedio"
"the barge","la barge","luoghi e orientamento","mantenere","Riferimento alla cargo barge dell'Admin Center in Siege of Orison; conservare barge per compatibilità con mappe e guide"
"Pips","Pips","marchi, bevande e lore","mantenere","Marchio canonico della bevanda energetica; non confondere con i PIP di puntamento"
"weekend warrior","volontario della domenica","dialoghi militari e insulti","tradurre","Insulto rivolto a combattenti occasionali ritenuti inesperti"
"heavy-hitter","pezzo grosso","dialoghi criminali e combattimento","tradurre","Combattente particolarmente pericoloso o figura di grande peso"
"Siege of Orison","Siege of Orison","eventi narrativi e lore","mantenere","Nome canonico dell'evento dinamico; conservare per mappe, guide e comunità"
"Phoenix","Phoenix","personaggi e lore","mantenere","Nome di battaglia scelto da un luogotenente dei Nine Tails durante Siege of Orison; mantenere la grafia originale"
"Ren","Ren","personaggi e lore","mantenere","Cognome con cui i subordinati si riferiscono al comandante dei Nine Tails Mendo Ren"
"Alliance","Alliance","organizzazioni e lore","mantenere","Forma abbreviata con cui gli abitanti di Nyx indicano la People's Alliance; conservare maiuscola e grafia originale"
"Jak","Jak","personaggi e lore","mantenere","Nome proprio citato dal giovane minatore di Nyx"
"Anthony Tanaka","Anthony Tanaka","personaggi e lore","mantenere","Figura storica legata alla resistenza contro il regime Messer e alla memoria collettiva di Levski"
"Tanaka","Tanaka","personaggi e lore","mantenere","Forma abbreviata di Anthony Tanaka usata nei dialoghi degli abitanti di Nyx"
"Rebecca","Rebecca","veicoli e lore","mantenere","Nome proprio della nave mineraria appartenente alla famiglia del giovane minatore di Nyx"
"Mercy","Mercy","luoghi e orientamento","mantenere","Forma breve di Mercy Hospital usata dagli abitanti di Levski; conservare per mappe e guide"
"Carl","Carl","personaggi e lore","mantenere","Nome proprio di un minatore della comunità di Nyx citato nelle interazioni commerciali"
"Moraine","Moraine","organizzazioni e lore","mantenere","Nome canonico della banda criminale attiva a Nyx; conservare per lore e guide"
"Glaciem Ring","Glaciem Ring","luoghi e orientamento","mantenere","Nome canonico della cintura di asteroidi di Nyx; preservare per mappe e guide"
"the Ring","Ring","luoghi e orientamento","mantenere","Forma colloquiale abbreviata di Glaciem Ring nei dialoghi di Nyx; mantenere Ring con la maiuscola"
"Vanduul","Vanduul","popoli e lore","mantenere","Nome canonico della specie; conservare grafia e maiuscola anche quando il sorgente la presenta in minuscolo"
"Rules of Life","Rules of Life","opere e lore","mantenere","Nome canonico del codice di principi esposto a Levski; conservare per riconoscibilità narrativa"
"Executives","Executives","organizzazioni e lore","mantenere","Denominazione del gruppo dirigente della People's Alliance usata dagli abitanti di Levski; conservare la maiuscola"
"Cafe Musain","Cafe Musain","luoghi e orientamento","mantenere","Nome canonico del locale di Levski nelle destinazioni; quando il sorgente usa la grafia di marchio Café Musain, conservarne anche l'accento"
"Levski","Levski","luoghi e orientamento","mantenere","Nome canonico della città su Delamar e sede della People's Alliance; preservare per mappe e guide"
"Messer","Messer","personaggi, storia e lore","mantenere","Cognome della dinastia e del regime imperiale; in italiano resta invariabile anche al plurale"
"Ludwig","Ludwig","personaggi e lore","mantenere","Nome proprio di un residente di Levski devoto alla causa della People's Alliance"
"Gene","Gene","personaggi e lore","mantenere","Nome proprio dell'ex proprietario di un negozio ricordato dagli abitanti di Levski"
"Musain's","Cafe Musain","luoghi e orientamento","normalizzare","Variante colloquiale presente in un dialogo; ricondurre al nome mostrato nelle destinazioni per compatibilità con mappe e guide"
"Musain","Cafe Musain","luoghi e orientamento","normalizzare","Variante abbreviata presente in un dialogo; ricondurre al nome mostrato nelle destinazioni"
"Kris","Kris","personaggi e lore","mantenere","Nome proprio della residente che commercia con i Banu a Nyx"
"Radegast '47","Radegast '47","bevande e lore","mantenere","Annata di whiskey Radegast citata nei dialoghi di Levski; conservare nome e abbreviazione dell'anno con apostrofo ASCII"
"Tenneson","Tenneson","personaggi e lore","mantenere","Cognome dichiarato durante una richiesta di assistenza a Levski"
"Kelso","Kelso","personaggi e lore","mantenere","Nome proprio di un membro dell'Alliance ucciso durante un'incursione a Nyx"
"Sela","Sela","personaggi e lore","mantenere","Nome proprio della sorella di Kelso, in partenza da Nyx per Castra"
"Jeff","Jeff","personaggi e lore","mantenere","Nome proprio di un residente citato nelle voci sulle pattuglie UEE a Levski"
"Allard","Allard","personaggi e lore","mantenere","Nome proprio della figura dell'Alliance coinvolta nelle presunte trattative con la UEE"
"Fenric","Fenric","personaggi e lore","mantenere","Nome proprio dell'organizzatore di pattuglie contro le incursioni Vanduul a Nyx"
"G7","G7","luoghi e orientamento","mantenere","Designazione della zona del deposito di rifornimenti citata dagli abitanti di Levski"
"Daniels","Daniels","personaggi e lore","mantenere","Nome proprio della donna che tenta di riattivare una vecchia QV Breaker Station"
"QV station","QV Breaker Station","luoghi e orientamento","normalizzare","Forma abbreviata usata nel dialogo; espandere al nome canonico per compatibilità con mappe e guide"
"fracker","frantumatore","impianti minerari","tradurre","Macchinario della QV Breaker Station impiegato per spezzare gli asteroidi"
"Tilfer","Tilfer","personaggi e lore","mantenere","Nome proprio di un ex membro della squadra tornato nella UEE"
"Bobcat","Bobcat","personaggi, prodotti e lore","mantenere","Nome proprio di un ex membro dell'Alliance; conservare anche quando compare nei nomi canonici di prodotto"
"Axel","Axel","personaggi e lore","mantenere","Nome proprio del residente che accusa un nuovo arrivato di essere una spia UEE"
"Keeger Belt","Keeger Belt","luoghi e orientamento","mantenere","Nome canonico della seconda cintura di asteroidi di Nyx; preservare per mappe e guide"
"Akiro Cluster","Akiro Cluster","luoghi e orientamento","mantenere","Nome canonico dell'ammasso di asteroidi; preservare per mappe e guide"
"Yela Ring","Yela Ring","luoghi e orientamento","mantenere","Nome canonico dell'anello di Yela; preservare per mappe e guide"
"Pyro Asteroid Clusters","Pyro Asteroid Clusters","luoghi e orientamento","mantenere","Nome cartografico collettivo degli ammassi di asteroidi di Pyro; preservare per mappe e guide"
"Borehole Station","Borehole Station","luoghi e orientamento","mantenere","Nome della stazione interna di Levski; preservare per segnaletica e guide"
